Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Equatorial Guinea,Africa,5296,3774.81,17,0,86,61.3,0,0,Community transmission
Central African Republic,Africa,4973,1029.66,10,0,63,13.04,0,0,Community transmission
Nicaragua,Americas,4916,742.09,49,0,167,25.21,1,0,Community transmission
Somalia,Eastern Mediterranean,4726,297.36,0,0,130,8.18,0,0,Community transmission
Curaçao,Americas,4469,27234.56,127,5,19,115.79,3,0,Community transmission
Togo,Africa,4045,488.6,323,67,73,8.82,4,0,Community transmission
Niger,Africa,3969,163.96,647,92,135,5.58,31,9,Community transmission
Gambia,Africa,3885,1607.59,73,9,125,51.72,0,0,Community transmission
South Sudan,Africa,3670,327.86,81,8,63,5.63,0,0,Community transmission
Benin,Africa,3413,281.53,109,50,46,3.79,2,0,Community transmission
Gibraltar,Europe,3240,96168.12,727,70,16,474.9,8,0,Clusters of cases
Jersey,Europe,2993,27509.19,151,21,59,542.28,12,2,Community transmission
Sierra Leone,Africa,2864,359.03,140,18,77,9.65,1,0,Community transmission
San Marino,Europe,2706,79733.63,157,56,65,1915.26,3,1,Community transmission
Chad,Africa,2668,162.43,379,79,108,6.57,3,1,Community transmission
Guinea-Bissau,Africa,2447,1243.39,0,0,45,22.87,0,0,Community transmission
Liechtenstein,Europe,2427,63638.99,101,15,40,1048.85,6,0,Sporadic cases
United States Virgin Islands,Americas,2180,20876.23,97,14,24,229.83,0,0,Community transmission
Yemen,Eastern Mediterranean,2113,70.84,7,2,613,20.55,2,0,Sporadic cases
Liberia,Africa,1876,370.92,76,76,84,16.61,1,1,Community transmission
New Zealand,Western Pacific,1872,388.2,40,0,25,5.18,0,0,Clusters of cases
Eritrea,Africa,1596,450.03,151,40,6,1.69,3,0,Sporadic cases
Sint Maarten,Americas,1589,37055.17,85,14,27,629.63,0,0,Community transmission
Viet Nam,Western Pacific,1521,15.63,16,1,35,0.36,0,0,Clusters of cases
Mongolia,Western Pacific,1469,448.1,120,13,1,0.31,0,0,Clusters of cases
Comoros,Africa,1288,1481.14,424,104,30,34.5,17,5,Community transmission
Monaco,Europe,1092,27825.91,145,22,7,178.37,3,1,Sporadic cases
Sao Tome and Principe,Africa,1090,4973.56,66,24,17,77.57,0,0,Community transmission
Burundi,Africa,1062,89.31,220,43,2,0.17,0,0,Community transmission
Saint Martin,Americas,1046,27057.09,44,0,12,310.41,0,0,Community transmission
Turks and Caicos Islands,Americas,1011,26111.89,93,17,6,154.97,0,0,Clusters of cases
Barbados,Americas,968,3368.42,276,84,7,24.36,0,0,Clusters of cases
Bhutan,South-East Asia,833,1079.56,78,2,1,1.3,1,0,Clusters of cases
Papua New Guinea,Western Pacific,833,93.1,34,10,9,1.01,0,0,Community transmission
Other,Other,745,,0,0,13,,0,0,Not applicable
Bermuda,Americas,661,10614.55,29,5,12,192.7,1,0,Clusters of cases
Faroe Islands,Europe,646,13220.1,20,0,1,20.46,1,0,Sporadic cases
Seychelles,Africa,577,5866.98,231,0,1,10.17,0,0,Sporadic cases
Mauritius,Africa,546,429.32,15,1,10,7.86,0,0,Clusters of cases
United Republic of Tanzania,Africa,509,8.52,0,0,21,0.35,0,0,Pending
Saint Lucia,Americas,490,2668.45,110,12,5,27.23,0,0,Sporadic cases
Cambodia,Western Pacific,411,24.58,26,13,0,0,0,0,Sporadic cases
Isle of Man,Europe,403,4739.39,23,7,25,294.01,0,0,No cases
Cayman Islands,Americas,362,5508.22,12,0,2,30.43,0,0,Sporadic cases
Bonaire,Americas,315,15060.96,78,5,3,143.44,0,0,Sporadic cases
Guernsey,Europe,306,4842.08,6,1,13,205.71,0,0,Community transmission
Saint Vincent and the Grenadines,Americas,284,2559.94,135,31,0,0,0,0,Sporadic cases
Saint Barthélemy,Americas,224,22660.6,33,0,0,0,0,0,Sporadic cases
Antigua and Barbuda,Americas,176,1797.22,16,0,5,51.06,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,174,397.73,2,0,3,6.86,0,0,Sporadic cases
Grenada,Americas,135,1199.75,5,0,1,8.89,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,128,2223.88,3,0,2,34.75,0,0,Pending
British Virgin Islands,Americas,114,3770.22,7,0,1,33.07,0,0,Clusters of cases
Dominica,Americas,109,1514.08,4,0,0,0,0,0,Clusters of cases
Fiji,Western Pacific,53,59.12,0,0,2,2.23,0,0,Sporadic cases
Timor-Leste,South-East Asia,51,38.68,2,0,0,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,41,5.64,0,0,0,0,0,0,Sporadic cases
New Caledonia,Western Pacific,40,140.11,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,34,639.19,1,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,29,8326.16,0,0,0,0,0,0,No cases
Greenland,Europe,29,510.82,1,0,0,0,0,0,No cases
Holy See,Europe,26,32138.44,0,0,0,0,0,0,Sporadic cases
Sint Eustatius,Americas,19,6052.88,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,17,24.75,0,0,0,0,0,0,No cases
Saint Pierre and Miquelon,Americas,16,2761,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,15,999.87,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,13,2600.52,0,0,1,200.04,0,0,No cases
Saba,Americas,5,2586.65,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,67.57,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,4,355.68,0,0,0,0,0,0,Sporadic cases
Micronesia (Federated States of),Western Pacific,1,8.69,1,0,0,0,0,0,No cases
Vanuatu,Western Pacific,1,3.26,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,No cases
